image_ID,David Barnes,comment,"comment, Julian",Alix?,Julian,comment Julian,Alix
AA2011_CTD106_CAM59_0001__IMG_0531_crop094,Flustridae,,,,,,
AA2011_CTD99_CAM52_0001__IMG_0543_crop090,Flustridae,,,,,,
JR15005_097_0003__Event_97_P29A20160313143916_crop006,Flustridae,,,,,,
NBP1502_KC3_0007__DSC0327_crop089,?,,,,,,
NBP1502_KC3_0011__DSC0305_crop053,?,,,,,,
NBP1502_KC3_0013__DSC0262_crop027,?,,,,,,
NBP1502_KC3_0013__DSC0262_crop028,?,,,,,,
NBP1502_KC3_0013__DSC0262_crop029,?,,,,,,
NBP1502_KC3_0013__DSC0262_crop054,?,,,,,,
NBP1502_KC3_0013__DSC0262_crop056,?,,,,,,
NBP1502_KC3_0013__DSC0262_crop080,Bryozoa,,,,,,
NBP1502_KC3_0013__DSC0262_crop099,Bryozoa,,,,,,
NBP1502_KC3_0015__DSC0348_crop042,Bryozoa,,,,,,
NBP1502_KC3_0017__DSC0185_crop067,?,,,,,,
NBP1502_KC3_0019__DSC0270_crop052,?,,,,,,
NBP1502_KC3_0021__DSC0227_crop077,?,,,,,,
NBP1502_KC3_0021__DSC0227_crop078,?,,,,,,
NBP1502_KC3_0023__DSC0313_crop038,?,,,,,,
NBP1502_KC3_0023__DSC0313_crop051,?,,,,,,
NBP1502_KC3_0023__DSC0313_crop061,?,,,,,,
NBP1502_KC3_0024__DSC0035_crop068,?,,,,,,
NBP1502_KC3_0025__DSC0206_crop004,?,,,,,,
NBP1502_KC3_0025__DSC0206_crop006,?,,,,,,
NBP1502_KC3_0027__DSC0292_crop082,?,,,,,,
NBP1502_KC3_0027__DSC0292_crop095,?,,,,,,
NBP1502_KC3_0031__DSC0335_crop056,?,,,,,,
NBP1502_KC3_0031__DSC0335_crop102,?,,,,,,
NBP1502_KC3_0032__DSC0024_crop031,?,,,,,,
NBP1502_KC3_0032__DSC0024_crop074,?,,,,,,
NBP1502_KC3_0036__DSC0067_crop051,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop011,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop016,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop028,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop029,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop034,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop035,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop048,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop059,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop078,?,,,,,,
NBP1502_KC3_0044__DSC0089_crop093,?,,,,,,
NBP1502_KC3_0047__DSC0345_crop004,?,,,,,,
NBP1502_KC3_0047__DSC0345_crop056,?,,,,,,
NBP1502_KC3_0047__DSC0345_crop090,?,,,,,,
NBP1502_KC3_0048__DSC0018_crop041,?,,,,,,
NBP1502_KC3_0048__DSC0018_crop076,?,,,,,,
NBP1502_KC3_0049__DSC0190_crop014,?,,,,,,
NBP1502_KC3_0049__DSC0190_crop042,?,,,,,,
NBP1502_KC3_0049__DSC0190_crop053,?,,,,,,
NBP1502_KC3_0051__DSC0276_crop102,?,,,,,,
NBP1502_KC3_0052__DSC0061_crop069,?,,,,,,
NBP1502_KC3_0052__DSC0061_crop101,Bryozoa,,,,,,
NBP1502_KC3_0053__DSC0233_crop041,?,,,,,,
NBP1502_KC3_0053__DSC0233_crop051,?,,,,,,
NBP1502_KC3_0053__DSC0233_crop091,?,,,,,,
NBP1502_KC3_0054__DSC0147_crop041,?,,,,,,
NBP1502_KC3_0054__DSC0147_crop067,?,,,,,,
NBP1502_KC3_0054__DSC0147_crop100,?,,,,,,
NBP1502_KC3_0054__DSC0147_crop101,?,,,,,,
NBP1502_KC3_0055__DSC0319_crop050,Bryozoa,,,,,,
NBP1502_KC3_0055__DSC0319_crop053,Bryozoa,,,,,,
NBP1502_KC3_0055__DSC0319_crop076,?,,,,,,
NBP1502_KC3_0057__DSC0211_crop054,?,,,,,,
NBP1502_KC3_0057__DSC0211_crop078,?,,,,,,
NBP1502_KC3_0057__DSC0211_crop079,?,,,,,,
NBP1502_KC3_0057__DSC0211_crop088,Bryozoa,,,,,,
NBP1502_KC3_0057__DSC0211_crop090,?,,,,,,
NBP1502_KC3_0057__DSC0211_crop094,?,,,,,,
NBP1502_KC3_0057__DSC0211_crop099,?,,,,,,
NBP1502_KC3_0057__DSC0211_crop105,?,,,,,,
NBP1502_KC3_0058__DSC0126_crop001,?,,,,,,
NBP1502_KC3_0058__DSC0126_crop030,?,,,,,,
NBP1502_KC3_0058__DSC0126_crop038,?,,,,,,
NBP1502_KC3_0059__DSC0297_crop041,?,,,,,,
NBP1502_KC3_0059__DSC0297_crop095,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop035,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop044,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop046,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop047,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop048,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop056,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop058,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop059,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop072,?,,,,,,
NBP1502_KC3_0060__DSC0083_crop090,?,,,,,,
NBP1502_KC3_0062__DSC0169_crop019,?,,,,,,
NBP1502_KC3_0062__DSC0169_crop089,?,,,,,,
NBP1502_KC3_0063__DSC0340_crop025,?,,,,,,
NBP1502_KC3_0063__DSC0340_crop027,?,,,,,,
NBP1502_KC3_0063__DSC0340_crop033,?,,,,,,
NBP1502_KC3_0063__DSC0340_crop036,?,,,,,,
NBP1502_KC3_0064__DSC0030_crop009,?,,,,,,
NBP1502_KC3_0064__DSC0030_crop035,?,,,,,,
NBP1502_KC3_0065__DSC0201_crop037,?,,,,,,
