AMC_lineage_names,AMC_id,uuid,CoralNet_LabelID,CoralNet_ShortCode
1.1 Biota > Ascidians > Stalked > Colonial,372,0ceecb87-bfeb-42b7-8434-6ba19f242aa9,341,Asc_SCol
1.1 Biota > Ascidians > Stalked > Colonial > White Lollipop,28380,fc202a73-701e-4057-8cbd-d06fcb724909,,
1.1 Biota > Ascidians > Stalked > Colonial > White Long Rod,28381,64a4f712-3fc0-405c-aac2-3092bd1d3c56,11356,Asc_WLD
1.1 Biota > Ascidians > Stalked > Solitary,373,c5688a05-bbb6-4a3b-a2b3-ee7a906be89f,340,Asc_SSol
1.1 Biota > Ascidians > Unstalked > Colonial,375,06b9b6a9-f223-4aad-bd41-37d4db3e5e7f,338,Asc_UCol
1.1 Biota > Ascidians > Unstalked > Solitary,376,ca5ff6c8-c188-4ca6-b0c4-bf0912af3288,337,Asc_USol
1.1 Biota > Brachiopods,444,25504fb1-a43e-49bd-a44d-603ef82d2e11,4062,Brach
1.1 Biota > Bryozoa,445,7369e38e-79f6-4672-9d55-6d94e50a5d33,1853,bryozoan
1.1 Biota > Bryozoa > Hard > Branching,447,d0e9bccc-372b-445f-81b7-c454df6ec03d,335,BHB
1.1 Biota > Bryozoa > Hard > Branching > Antler,28383,cb0c5aa0-351c-4d81-b577-942e1d1a8623,4162,BH_BrAnt
1.1 Biota > Bryozoa > Hard > Branching > Antler > Purple,28386,9ccfb26e-8775-4632-a588-f2217a176456,,
1.1 Biota > Bryozoa > Hard > Branching > Antler Coral-head,28384,3980f457-3e59-49dd-b95b-ca134b5f5723,4163,BH_BrHead
1.1 Biota > Bryozoa > Hard > Branching > Leafy,28385,6321e13a-ad36-42bf-a899-f5170243b3e7,4161,BH_BrLeaf
1.1 Biota > Bryozoa > Hard > Encrusting,448,dd3f83b6-046e-43bd-b7cf-395fe498b939,334,BH_Encr
1.1 Biota > Bryozoa > Hard > Fenestrate,449,124e9dc2-e4d8-42b7-ab5f-8e285a974a94,333,BH_Fenestr
1.1 Biota > Bryozoa > Hard > Fenestrate > Bryozoa Lace,7212,ce197f7d-4c2c-4c67-80fb-a9ebbbc20a11,11384,BH_Lace
1.1 Biota > Bryozoa > Hard > Melicerita obliqua,28387,94c08815-fd22-45e0-b963-9f1d341a1b97,11378,BH_Mo
1.1 Biota > Bryozoa > Soft,451,a1feffe9-b859-4a18-8203-574d1a78ae42,328,BS
1.1 Biota > Bryozoa > Soft > Dendroid,452,ef975b5b-e1eb-4d58-9e47-d66abcb04c57,329,BS_Dendr
1.1 Biota > Bryozoa > Soft > Foliaceous,453,5764d798-b9cc-4a62-9b4b-2f4fc065536a,330,BS_Foliac
1.1 Biota > Cnidaria > Colonial anemones,455,a34df8cc-f98d-4df5-a967-ac398ac0f0b3,4773,CNCA
1.1 Biota > Cnidaria > Colonial anemones > Zoanthids,457,14609ace-afc4-49ce-9ddc-856110e25f3d,4112,CNCAZ
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Fleshy > Arborescent,463,505f4186-3e53-4691-ba80-6dd8c0fa519c,262,O_3D_FlArb
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Fleshy > Mushroom,464,aeb87493-2a2d-4aea-a3b3-8addc6be4309,4164,O_3D_MshSt
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy,465,927df05e-cab6-4ccd-868b-8d23e7a7fbff,254,OBN
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Arborescent,466,7ea450cc-89bb-4757-99ce-5ffe50dc456f,259,O_3D_NFArb
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Bottle-brush > Complex,468,4f1d60d0-4b8a-4fad-a1b6-4bb48c8eb6f3,11376,OBNBCom
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Bottle-brush > Simple,469,cab4a7dd-9e59-4ba8-9242-3a5414ccd47b,257,OBNBS
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Cuplike,28428,2776647b-8ca4-49a4-8bbd-e12d06f3f7c2,11377,O_Cup
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Fan (2D),472,dca69d17-221c-4b18-a2a6-761ba10f24b4,247,OF
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Fan (2D) > Fern-frond,473,09a80d80-0883-4770-a64c-da2151aaaa0f,249,OFaF
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Quill (seapen),479,f4944c33-a9e8-4060-8992-7d0e5c678535,4166,O_Seapen
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Whip > Sea Whip,7161,f814b3de-e207-4c30-9742-6c468131f8dc,246,O_Whip
1.1 Biota > Cnidaria > Corals > Black & Octocorals > Whip > Sea Whip > Large polyps,28429,6d783451-7a4e-4e26-9429-bc922cc4df9c,11362,O_Whip_LP
1.1 Biota > Cnidaria > Corals > Stony corals > Solitary,490,337e32dd-160c-47de-bd74-869baca701a7,4167,StonyC_Sol
1.1 Biota > Cnidaria > Hydrocorals > Branching,498,d53b4497-c4a9-48f2-83b1-9c4175a45afb,4168,HydrC_Br
1.1 Biota > Cnidaria > Hydroids > Colonial,28412,58fc2d32-8ddf-42af-84f7-eca6dd3176a6,,
1.1 Biota > Cnidaria > Hydroids > Solitary,28413,57df35dd-d8e8-4ab2-978d-677de87aea87,4170,Hydroid_S
1.1 Biota > Cnidaria > Hydroids > Thin branching,28414,b7573d9d-d98f-4978-8f1a-4441414ac380,,
1.1 Biota > Cnidaria > Hydroids > Thin filaments,28415,11717a4a-9fa2-49c3-b29f-5859f121c05e,,
1.1 Biota > Cnidaria > True anemones,501,87da4253-d88a-4085-bce6-e87ac751a688,4774,CNTR
1.1 Biota > Crustacea > Amphipoda,14969,9c805576-6b07-400a-8751-2eddf601238b,4028,Cr_Amph
1.1 Biota > Crustacea > Barnacles,507,e205829a-3fce-439e-b7d2-cbb210e5bc5d,357,Cr_Barn
1.1 Biota > Crustacea > Isopoda,14968,3ce7f717-a700-4399-9656-f225e1c93dd9,4035,Cr_Isopod
1.1 Biota > Crustacea > Isopoda > Serolidae,28388,11b07cd9-2fe4-42af-a66b-cdde7d3070ea,4036,SERO
1.1 Biota > Crustacea > Prawns / shrimps / mysids,522,f24cfd60-3eed-4db3-9b74-b6c8fbc2ce78,4171,Cr_Prawn
1.1 Biota > Echinoderms > Feather stars > Stalked crinoids,525,e42d30c1-29bc-4b0b-9336-baf15da22975,352,E_Crin_St
1.1 Biota > Echinoderms > Feather stars > Unstalked crinoids,526,82c1c5e9-070e-4089-b5f3-3c814850fcd0,351,E_Crin_US
1.1 Biota > Echinoderms > Sea cucumbers > Benthic,531,531890e9-ba7e-408c-a9b9-daa6edba5cf0,346,E_H_Oth
1.1 Biota > Echinoderms > Sea cucumbers > Benthic > Grey sediment like,28392,03973161-4459-41ee-84cf-979496b2c002,,
